"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","120.7","1,577.6","12.2","1.6","12.7","0.0","0.6","231.2"
"Justin Jefferson","MIN","106.4","1,479.0","9.7","0.5","2.2","0.0","0.6","205.2"
"CeeDee Lamb","DAL","111.7","1,391.7","8.0","9.2","59.3","0.3","1.0","193.0"
"Puka Nacua","LAR","105.7","1,374.1","7.0","10.7","61.4","0.6","0.6","187.7"
"Nico Collins","HOU","92.0","1,313.5","8.9","0.0","1.6","0.0","0.5","183.6"
"Malik Nabers","NYG","106.6","1,338.3","8.2","2.6","12.2","0.0","0.6","183.3"
"Brian Thomas Jr.","JAC","91.6","1,285.6","8.6","3.8","25.1","0.0","0.6","181.4"
"Amon-Ra St. Brown","DET","110.4","1,267.6","9.1","1.9","12.6","0.1","0.9","180.8"
"A.J. Brown","PHI","84.8","1,244.8","8.4","0.0","0.0","0.0","0.9","172.8"
"Tyreek Hill","MIA","94.2","1,184.5","7.7","7.2","40.3","0.1","0.6","168.5"
"Drake London","ATL","94.5","1,204.7","7.9","0.3","2.0","0.0","0.6","167.1"
"Ladd McConkey","LAC","91.2","1,217.8","7.5","0.0","1.4","0.0","0.7","165.4"
"Mike Evans","TB","79.2","1,063.4","9.9","0.0","0.0","0.0","0.5","164.5"
"Tee Higgins","CIN","86.6","1,093.9","8.9","0.0","0.0","0.0","0.9","161.1"
"Terry McLaurin","WAS","83.6","1,115.3","8.4","1.1","4.6","0.0","0.9","160.9"
"Davante Adams","LAR","85.4","1,101.6","8.3","0.3","0.0","0.0","0.5","159.2"
"Marvin Harrison Jr.","ARI","79.6","1,098.9","7.7","0.0","3.2","0.0","1.0","154.5"
"DK Metcalf","PIT","75.6","1,109.7","7.3","0.0","0.0","0.0","1.3","151.9"
"Jaxon Smith-Njigba","SEA","95.0","1,111.3","6.6","2.6","17.7","0.0","0.6","151.5"
"Zay Flowers","BAL","74.9","1,028.7","6.3","8.2","48.4","0.1","0.5","145.2"
"Xavier Worthy","KC","70.3","861.5","7.1","15.7","84.5","1.5","0.5","145.2"
"Garrett Wilson","NYJ","91.7","1,095.8","6.0","1.9","13.5","0.0","1.3","144.5"
"Courtland Sutton","DEN","76.7","1,016.3","7.4","0.0","0.2","0.0","0.9","144.3"
"DJ Moore","CHI","86.7","1,007.6","6.3","9.5","54.0","0.1","0.9","142.7"
"Jameson Williams","DET","60.4","958.2","6.0","7.4","63.4","0.8","0.5","141.6"
"Calvin Ridley","TEN","69.5","1,011.0","6.0","5.6","36.0","0.3","0.9","140.6"
"DeVonta Smith","PHI","81.2","977.7","6.8","0.3","1.2","0.0","0.5","137.7"
"George Pickens","DAL","68.4","1,000.0","6.4","1.0","6.2","0.0","0.9","137.1"
"Jerry Jeudy","CLE","80.9","1,088.1","4.1","0.3","4.8","0.0","0.6","132.7"
"Deebo Samuel Sr.","WAS","64.7","816.2","5.1","30.1","132.3","1.2","1.0","130.8"
"Jakobi Meyers","LV","82.4","966.4","5.3","1.2","8.9","0.0","0.5","128.5"
"Jauan Jennings","SF","70.7","931.4","5.7","3.6","14.7","0.1","0.6","128.1"
"Jaylen Waddle","MIA","75.5","965.2","4.9","2.5","15.9","0.1","0.5","126.6"
"Jayden Reed","GB","59.3","793.5","5.8","12.0","95.1","0.7","0.9","126.2"
"Chris Godwin","TB","76.6","879.0","5.8","1.2","6.1","0.0","0.6","122.4"
"Matthew Golden","GB","61.4","867.7","6.0","0.7","11.8","0.0","0.8","122.3"
"Travis Hunter","JAC","68.3","883.0","5.2","3.8","21.8","0.1","0.8","120.7"
"Rome Odunze","CHI","65.6","880.3","5.4","1.3","8.0","0.0","0.9","119.2"
"Rashee Rice","KC","71.6","834.2","6.0","1.1","4.4","0.0","0.6","118.6"
"Tetairoa McMillan","CAR","69.5","895.0","5.1","0.5","7.4","0.0","1.2","118.3"
